1.67	212.7	76.26662842
1.9	122.2	33.85041551
2.01	89.9	22.25192446
1.33	135.1	76.3751484
1.55	140.4	58.43912591
1.77	171.9	54.86929043
1.82	38.5	11.62299239
1.39	226.4	117.1781999
1.6	117.8	46.015625
1.55	90.8	37.79396462
1.76	88.2	28.47365702479339
1.96	87.5	22.776967930029155
2.07	193.9	45.25193120026139
1.49	178.0	80.176568623035
1.91	221.9	60.82618349277706
1.34	161.1	89.71931387836933
1.74	174.2	57.5373232923768
1.31	48.3	28.1452129829264
1.73	147.7	49.350128637776066
2.07	183.1	42.7314523092721
1.68	44.4	15.731292517006805
2.01	138.1	34.18232221974704
1.54	75.9	32.00371057513915
1.47	71.3	32.99551112962192
1.3	132.4	78.34319526627219
1.34	176.4	98.24014257072844
1.51	145.1	63.63755975615104
1.64	46.3	17.21445568114218
2.03	157.2	38.14700672183262
1.4	117.4	59.89795918367348
1.7	101.2	35.017301038062286
1.6	52.7	20.585937499999996
1.56	106.0	43.5568704799474
1.58	88.4	35.41099182823265
1.74	227.0	74.97687937640374
1.38	90.5	47.52152909052721
1.53	179.6	76.72262804904096
1.71	163.7	55.98303751581683
1.99	50.8	12.827958889927022
1.81	178.9	54.60761271023473
1.67	180.3	64.6491448241242
1.7	153.0	52.94117647058824
1.28	40.5	24.71923828125
1.37	219.7	117.05471788587562
1.46	182.7	85.71026458997936
1.28	164.8	100.5859375
1.52	44.8	19.39058171745152
1.59	54.2	21.43902535500969
1.58	43.1	17.2648614004166
1.65	131.5	48.30119375573921
2.02	200.6	49.16184687775708
1.46	218.6	102.55207355976732
1.91	108.8	29.82374386667032
1.65	120.2	44.15059687786961
1.54	57.6	24.287400910777535
1.51	127.0	55.69931143370905
1.72	49.2	16.630611141157384
2.05	59.1	14.06305770374777
1.44	215.8	104.07021604938272
1.71	183.7	62.82274887999726
1.76	190.4	61.46694214876033
1.91	128.9	35.33346125380335
1.63	81.9	30.825398020249168
1.74	226.9	74.9438499141234
1.97	146.5	37.74897575304697
1.74	109.9	36.29937904610913
2.06	120.5	28.39570176265435
1.26	159.0	100.151171579743
1.51	195.5	85.74185342748125
1.82	158.4	47.82031155657529
