1.76	88.2
1.96	87.5
2.07	193.9
1.49	178
1.91	221.9
1.34	161.1
1.74	174.2
1.31	48.3
1.73	147.7
2.07	183.1
1.68	44.4
2.01	138.1
1.54	75.9
1.47	71.3
1.3	132.4
1.34	176.4
1.51	145.1
1.64	46.3
2.03	157.2
1.4	117.4
1.7	101.2
1.6	52.7
1.56	106
1.58	88.4
1.74	227
1.38	90.5
1.53	179.6
1.71	163.7
1.99	50.8
1.81	178.9
1.67	180.3
1.7	153
1.28	40.5
1.37	219.7
1.46	182.7
1.28	164.8
1.52	44.8
1.59	54.2
1.58	43.1
1.65	131.5
2.02	200.6
1.46	218.6
1.91	108.8
1.65	120.2
1.54	57.6
1.51	127
1.72	49.2
2.05	59.1
1.44	215.8
1.71	183.7
1.76	190.4
1.91	128.9
1.63	81.9
1.74	226.9
1.97	146.5
1.74	109.9
2.06	120.5
1.26	159
1.51	195.5
1.82	158.4
